timestamp,temperature,humidity
1746983632.1168041,23.34,46.16
1746983634.1179287,25.4,50.22
1746983636.118959,25.29,35.06
1746983638.1198065,27.22,51.51
1746983640.1201894,27.6,41.07
1746983642.1209576,24.7,40.6
1746983644.121622,26.52,51.62
1746983646.122586,26.47,48.79
1746983648.1233802,25.08,38.22
1746983650.124215,23.37,48.75
1746983652.1251578,25.93,41.93
1746983654.1257806,24.1,43.81
1746983656.12659,27.03,35.97
1746983658.1278255,27.05,52.93
1746983660.128412,23.38,39.06
1746983662.1293347,24.46,54.08
1746983664.1298962,23.62,39.55
1746983666.1306205,26.58,50.52
1746983668.130957,27.64,48.55
1746983670.1317124,25.07,45.45
1746983672.1322389,27.54,38.8
1746983674.1325417,27.84,46.6
1746983676.1331089,24.37,46.41
1746983678.1336205,27.9,35.1
1746983680.133994,25.9,40.54
1746983682.1343825,25.88,53.96
1746983684.135115,23.69,38.12
1746983686.1358423,23.54,51.27
1746983688.13676,27.9,54.26
1746983690.137475,23.29,50.98
1746983692.1380258,23.32,49.42
1746983694.1389253,25.26,38.6
